"FishID","fish_id","gra_2002","gra_2003","gra_2004","gra_2005","gra_2006","gra_2007","gra_2008","gra_2009","gra_2010","gra_2011","gra_2012","gra_2013","gra_2014","gra_2015","gra_2016","gra_2017","gra_2018","gra_2019","gra_2020","gra_2021"
292003,10792,0.603448275862069,0.543103448275862,0.551724137931034,0.491379310344828,0.508620689655172,0.543103448275862,0.560344827586207,0.586206896551724,0.603448275862069,0.732758620689655,0.775862068965517,0.818965517241379,0.810344827586207,0.758620689655172,0.629310344827586,0.655172413793103,0.603448275862069,0.612068965517241,0.620689655172414,0.646551724137931
292004,10793,0.565217391304348,0.51304347826087,0.417391304347826,0.28695652173913,0.373913043478261,0.243478260869565,0.269565217391304,0.304347826086957,0.243478260869565,0.252173913043478,0.260869565217391,0.339130434782609,0.4,0.330434782608696,0.130434782608696,0.243478260869565,0.347826086956522,0.365217391304348,0.391304347826087,0.608695652173913
292005,10794,0.411764705882353,0.352941176470588,0.260504201680672,0.134453781512605,0.142857142857143,0.0504201680672269,0.0504201680672269,0.151260504201681,0.109243697478992,0.092436974789916,0.100840336134454,0.201680672268908,0.285714285714286,0.260504201680672,0.126050420168067,0.19327731092437,0.218487394957983,0.243697478991597,0.327731092436975,0.672268907563025
292006,10795,0.0619469026548673,0.0353982300884956,0,0.00884955752212389,0.00884955752212389,0,0,0.00884955752212389,0.0176991150442478,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0,0,0,0,0.00884955752212389,0.0353982300884956,0.115044247787611
292007,10796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292010,10797,0,0,0,0,0,0,0,0,0,0,0,0.0087719298245614,0.0175438596491228,0,0,0,0,0,0,0
292011,10798,0,0,0,0,0,0,0,0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0,0,0,0,0,0,0
292013,10799,0,0,0,0,0.00869565217391304,0.00869565217391304,0,0.00869565217391304,0.0173913043478261,0.0347826086956522,0.0173913043478261,0.0260869565217391,0.0869565217391304,0.0434782608695652,0.00869565217391304,0,0,0.00869565217391304,0.00869565217391304,0
292014,10800,0.0769230769230769,0.0427350427350427,0,0,0.00854700854700855,0.00854700854700855,0,0,0,0,0,0.0256410256410256,0.0256410256410256,0.00854700854700855,0,0,0,0,0.0170940170940171,0.0341880341880342
292015,10801,0.0087719298245614,0.0087719298245614,0,0.0087719298245614,0.0175438596491228,0.0263157894736842,0.0175438596491228,0.0263157894736842,0.0175438596491228,0.043859649122807,0.0526315789473684,0.043859649122807,0.0789473684210526,0.0701754385964912,0.0350877192982456,0.0087719298245614,0,0,0,0.0087719298245614
292016,10802,0.00840336134453781,0.00840336134453781,0.00840336134453781,0,0.00840336134453781,0.00840336134453781,0.00840336134453781,0.00840336134453781,0.00840336134453781,0.0168067226890756,0.0336134453781513,0.0336134453781513,0.0336134453781513,0.0336134453781513,0.0168067226890756,0.00840336134453781,0.0168067226890756,0.0252100840336134,0.0336134453781513,0.0420168067226891
292017,10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292018,10804,0.0169491525423729,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254237288135593
292019,10805,0.382608695652174,0.339130434782609,0.243478260869565,0.182608695652174,0.2,0.147826086956522,0.121739130434783,0.139130434782609,0.0956521739130435,0.0695652173913043,0.208695652173913,0.226086956521739,0.269565217391304,0.217391304347826,0.147826086956522,0.2,0.252173913043478,0.252173913043478,0.269565217391304,0.426086956521739
292020,10806,0.324561403508772,0.333333333333333,0.315789473684211,0.307017543859649,0.298245614035088,0.254385964912281,0.263157894736842,0.245614035087719,0.271929824561404,0.280701754385965,0.289473684210526,0.263157894736842,0.236842105263158,0.280701754385965,0.263157894736842,0.271929824561404,0.307017543859649,0.263157894736842,0.324561403508772,0.535087719298246
292021,10807,0.848739495798319,0.873949579831933,0.80672268907563,0.781512605042017,0.781512605042017,0.747899159663866,0.739495798319328,0.781512605042017,0.756302521008403,0.680672268907563,0.722689075630252,0.65546218487395,0.630252100840336,0.672268907563025,0.638655462184874,0.53781512605042,0.554621848739496,0.605042016806723,0.663865546218487,0.80672268907563
292023,10808,0.0347826086956522,0.0260869565217391,0.0260869565217391,0.0173913043478261,0.0260869565217391,0.0173913043478261,0.0173913043478261,0.0173913043478261,0.00869565217391304,0.00869565217391304,0.0260869565217391,0.00869565217391304,0,0,0,0,0.00869565217391304,0.00869565217391304,0.0260869565217391,0.0608695652173913
292025,10809,0.491071428571429,0.535714285714286,0.482142857142857,0.5,0.517857142857143,0.508928571428571,0.508928571428571,0.553571428571429,0.446428571428571,0.258928571428571,0.285714285714286,0.214285714285714,0.151785714285714,0.196428571428571,0.214285714285714,0.116071428571429,0.0892857142857143,0.125,0.267857142857143,0.357142857142857
292026,10810,0.458333333333333,0.5,0.458333333333333,0.45,0.425,0.45,0.4,0.425,0.4,0.375,0.35,0.291666666666667,0.241666666666667,0.308333333333333,0.291666666666667,0.141666666666667,0.108333333333333,0.25,0.325,0.391666666666667
292027,10811,0.447368421052632,0.447368421052632,0.37719298245614,0.37719298245614,0.368421052631579,0.350877192982456,0.324561403508772,0.333333333333333,0.333333333333333,0.280701754385965,0.280701754385965,0.263157894736842,0.271929824561404,0.289473684210526,0.263157894736842,0.236842105263158,0.219298245614035,0.236842105263158,0.236842105263158,0.385964912280702
292038,10812,0.00884955752212389,0,0,0,0,0,0,0.00884955752212389,0,0,0.0176991150442478,0.0353982300884956,0.0265486725663717,0.0353982300884956,0.0176991150442478,0.0176991150442478,0.0265486725663717,0.0530973451327434,0.115044247787611,0.150442477876106
292039,10813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292045,10814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292048,10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292051,10816,0,0,0.00806451612903226,0,0,0,0,0,0,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0241935483870968,0.0161290322580645,0,0,0,0,0.00806451612903226,0.0564516129032258
292052,10817,0.114754098360656,0.147540983606557,0.0983606557377049,0.122950819672131,0.114754098360656,0.040983606557377,0.040983606557377,0.0327868852459016,0.0163934426229508,0.0573770491803279,0.0737704918032787,0.0819672131147541,0.0901639344262295,0.0573770491803279,0.0327868852459016,0.0327868852459016,0.040983606557377,0.0983606557377049,0.0983606557377049,0.155737704918033
292053,10818,0.0176991150442478,0.0176991150442478,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0,0,0,0,0,0,0,0,0,0.00884955752212389,0.0176991150442478,0.0176991150442478
292054,10819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292055,10820,0.0707964601769911,0.079646017699115,0.0530973451327434,0.0619469026548673,0.0442477876106195,0.0265486725663717,0.0442477876106195,0.0265486725663717,0.00884955752212389,0,0.0265486725663717,0.0353982300884956,0.0353982300884956,0.0353982300884956,0.0353982300884956,0.0265486725663717,0.0265486725663717,0.0265486725663717,0.0353982300884956,0.079646017699115
